Слово: Abadsqaja, Не найдено подходящих лемм
Слово: muqlijı, Низкая уверенность: mulə (62.5%)
Слово: muqvixla, Не найдено подходящих лемм
Слово: murfils, Низкая уверенность: murəxəs (60.0%)
Слово: murgəşlun, Не найдено подходящих лемм
Слово: murmelun, Низкая уверенность: rom (62.5%)
Слово: murvьxlun, Не найдено подходящих лемм
Слово: murvьxta, Низкая уверенность: muraz (60.0%)
Слово: musbətta, Низкая уверенность: masjatta (60.0%)
Слово: musiblun, Лемма: məsələn (80.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: musilə, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: muslə, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: musvьjь, Лемма: masvьjana (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: musşəmir, Не найдено подходящих лемм
Слово: muta, Не найдено подходящих лемм
Слово: mutiviun, Не найдено подходящих лемм
Слово: mutivli, Не найдено подходящих лемм
Слово: mutivə, Лемма: motvəjə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mutrəsə, Низкая уверенность: turə (62.5%)
Слово: mutsirivəx, Не найдено подходящих лемм
Слово: mutvi, Не найдено подходящих лемм
Слово: mutvili, Не найдено подходящих лемм
Слово: mutvivə, Лемма: motvəjə (88.9%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mutvə, Лемма: motvəjə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mutvənə, Лемма: motvəjə (88.9%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mutvəsə, Лемма: motvəjə (88.9%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mutya, Не найдено подходящих лемм
Слово: muvrəxəx, Низкая уверенность: murəxəs (60.0%)
Слово: muvrьxtə, Низкая уверенность: mərtə (60.0%)
Слово: muvəqtə, Низкая уверенность: əmuqə (62.5%)
Слово: muvərrə, Низкая уверенность: mərə (62.5%)
Слово: muxbərdərkul, Не найдено подходящих лемм
Слово: muxzələn, Низкая уверенность: muxəвn (60.0%)
Слово: muzrili, Низкая уверенность: zur (62.5%)
Слово: muçixlun, Низкая уверенность: muxə (62.5%)
Слово: mxtə, Лемма: mxetə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mınnə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mǝhə, Лемма: mhumnə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mǝnǝjǝ, Лемма: mnəjə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mǝrǝ, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mǝttuxo, Лемма: matta (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mǝxrivənь, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mǝxrьvь, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məbjento, Не найдено подходящих лемм
Слово: məbjinə, Не найдено подходящих лемм
Слово: məbjuni, Не найдено подходящих лемм
Слово: məbjunili, Не найдено подходящих лемм
Слово: məbjunilə, Не найдено подходящих лемм
Слово: məbjunina, Не найдено подходящих лемм
Слово: məbjuninə, Не найдено подходящих лемм
Слово: məbjunivə, Не найдено подходящих лемм
Слово: məbjunələ, Не найдено подходящих лемм
Слово: məbjunɩla, Не найдено подходящих лемм
Слово: məbjunьlə, Не найдено подходящих лемм
Слово: məbjənta, Не найдено подходящих лемм
Слово: məbjəntu, Не найдено подходящих лемм
Слово: məblьjovinnə, Низкая уверенность: əməl (62.5%)
Слово: məbsarta, Не найдено подходящих лемм
Слово: məbsimənta, Не найдено подходящих лемм
Слово: məbsimənə, Низкая уверенность: məsmijənə (60.0%)
Слово: məbsurə, Не найдено подходящих лемм
Слово: məbsurьna, Не найдено подходящих лемм
Слово: məbsərtə, Не найдено подходящих лемм
Слово: məcməjənь, Не найдено подходящих лемм
Слово: məcıx, Лемма: məcuxi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məddsja, Не найдено подходящих лемм
Слово: mədr, Лемма: mədrəsə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mədrasɩ, Лемма: mədrəsə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mədresi, Лемма: mədrəsə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mədrəsəja, Лемма: mədrəsə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mədə, Лемма: mədrəsə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məhlum, Лемма: məhlim (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məhə, Лемма: məhlim (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məhəllь, Лемма: məhlim (88.9%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məiqə, Лемма: məqqəs (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məjjəta, Лемма: mjəjə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məjjь, Лемма: mjəjə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məkiduna, Низкая уверенность: kəd (62.5%)
Слово: məkləjatь, Лемма: məkluji (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məklətə, Лемма: məkletə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məkrьxutə, Низкая уверенность: mərə (62.5%)
Слово: məkrьzьj, Лемма: makruzь (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məktulta, Лемма: məkletə (80.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məktuvivin, Низкая уверенность: mətə (62.5%)
Слово: məktəlta, Лемма: məkletə (80.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məktəlьj, Лемма: məkluji (80.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məkudənə, Не найдено подходящих лемм
Слово: məkulta, Лемма: məkletə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məkvitun, Низкая уверенность: kəvi (62.5%)
Слово: məlaptə, Лемма: mələptə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məliij, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məliqajati, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%, разница кол-ва гласных 4)
Слово: məliqi, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlisrax, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlja, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məljjax, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkaja, Лемма: məlkəjə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkvati, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkvatɩ, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkveti, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkvəti, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkvətɩ, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkvətь, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkəvatbit, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkəvati, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkəvatɩ, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlkəvatь, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlletə, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlliij, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlloli, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlopinə, Лемма: məlpənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlpila, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlpinə, Лемма: məlpənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlqa, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlqetə, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlquta, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlqvata, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlqvati, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlqvatь, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlqvaţi, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlqvətь, Низкая уверенность: məlkə (60.0%)
Слово: məltəvtə, Низкая уверенность: mələptə (60.0%)
Слово: məlum, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlximi, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlxəmta, Лемма: mələxə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlxьmli, Лемма: mələxə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mələkqji, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mələpta, Лемма: mələptə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mələpənə, Лемма: məlpənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məlь, Лемма: əməl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məmkəxta, Лемма: məmkuxi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məmələ, Лемма: məmlə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənajə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənağa, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənenta, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məngənə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənpəlta, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənqənə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntajəti, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntijjanta, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntijjəni, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntixəmıj, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntojətь, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntǝjlə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntəja, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntəjatan, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntəjatj, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntəjatoxun, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntəjatı, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntəjatɩ, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntəjetə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məntəjə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənximənt, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənziji, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənzilje, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənzilji, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənşevizm, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənəjə, Лемма: mnəjə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənənь, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənəsьjǝ, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənətə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mənь, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məplaxta, Лемма: məpləxtə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məplixə, Лемма: məpləxtə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məpləxenə, Лемма: məpləxtə (90.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məpləxta, Лемма: məpləxtə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məplɩxɩj, Лемма: məpluxi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məqaztə, Низкая уверенность: qaza (62.5%)
Слово: məqbəllə, Низкая уверенность: məqdənə (60.0%)
Слово: məqletə, Низкая уверенность: əqlə (62.5%)
Слово: məqlutə, Низкая уверенность: əqlə (62.5%)
Слово: məqləta, Низкая уверенность: əqlə (62.5%)
Слово: məqpıllı, Низкая уверенность: məpləxtə (60.0%)
Слово: məqqь, Лемма: məqqəs (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məqrəsənə, Низкая уверенность: mərə (62.5%)
Слово: məqsəbənta, Низкая уверенность: qesə (62.5%)
Слово: məqtalta, Низкая уверенность: mətə (62.5%)
Слово: məqtəvtə, Не найдено подходящих лемм
Слово: məqvetə, Не найдено подходящих лемм
Слово: məqvətə, Лемма: məqvəxtə/maqvaxta (88.9%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məqvəx, Лемма: məqvuxi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məra, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məraqɩ, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məravatь, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məravəti, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məravətь, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərbəndutə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərc, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərduţə, Лемма: mərdə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məriqə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjizij, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjizijli, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjizə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjizəne, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjizəntə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjizənь, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjizəx, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjudə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjuzdvə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjuzo, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjuzta, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjuzьlə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjəz, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjəza, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərjьnə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərkəz, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərkəzi, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərljzənə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərmaç, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərməx, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərujətь, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərumlə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məruzjatь, Лемма: mərzə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərvaxtə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərvuxu, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərvə, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərvəxta, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərvəxu, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərzəjilə, Лемма: mərzə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərəvətь, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərɩ, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mərь, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsallə, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsalь, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsbutula, Не найдено подходящих лемм
Слово: məsbutunə, Низкая уверенность: məsəmtə (60.0%)
Слово: məsbətinə, Низкая уверенность: məsəmtə (60.0%)
Слово: məsbьtьva, Низкая уверенность: masjьtana (60.0%)
Слово: məsbьtьx, Низкая уверенность: məsəmtə (60.0%)
Слово: məsj, Лемма: məsjəntə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsjəva, Лемма: msəjə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsli, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məslulə, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məslun, Лемма: məsələn (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məslə, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsləjətə, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məslətə, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsslun, Лемма: məsələn (80.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məssə, Лемма: məssumi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məssəj, Лемма: mьssaja (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məssəjɩ, Лемма: mьssaja (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məssəjь, Лемма: mьssaja (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məssəm, Лемма: məssumi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məssəmta, Лемма: məssumi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məssəmtə, Лемма: məsəmtə (80.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məssəmə, Лемма: məssumi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsxlɩjva, Лемма: məsluji (80.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsxərtə, Низкая уверенность: məsəmtə (60.0%)
Слово: məsǝli, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsə, Лемма: məsəmtə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsəməmə, Лемма: məsəmtə (88.9%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsəți, Лемма: məsələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsь, Лемма: məsəmtə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsьjnь, Лемма: məsjəntə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məsьn, Лемма: mesana (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məta, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məterjalǝji, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məti, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətidǝrinə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətja, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətlə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətqovjənutə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətrastə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətrati, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətrəstə, Низкая уверенность: mərtə (60.0%)
Слово: mətrəsь, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məttuvila, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məttuvili, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məttuvənə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məttəvtə, Низкая уверенность: ətutə (62.5%)
Слово: mətuvenə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətuviinə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətuvili, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətuvilə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətuvinə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətuvə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətvetə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətvijlə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətvil, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətvə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətvətə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətvətɩ, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətvətь, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətzurila, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətətə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətəvtə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətɩ, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: mətьjna, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məvarta, Низкая уверенность: vara (62.5%)
Слово: məvujonə, Не найдено подходящих лемм
Слово: məvzolej, Не найдено подходящих лемм
Слово: məxburtь, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxburɩ, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxburьna, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxburьnə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxbırunə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxbəralun, Не найдено подходящих лемм
Слово: məxdiji, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxdɩjənə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxdɩrans, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxibbəni, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxibiji, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxibijva, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxiblə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxija, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məximɩj, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxinəşi, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxjətə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxkij, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxlun, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxlə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxləptə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxmulinə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxnəktə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxnəqtə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxpaltə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxpilla, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxpille, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxpəlta, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxpəltə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxpəlьnə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxqəştə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxravtə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxriva, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxrivij, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxrivəni, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: məxrivənı, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
