Слово: salьmun, Предложенная лемма: salmanta (100.0%)
Слово: xijeli, Предложенная лемма: jel (62.5%)
Слово: gəşuqlnə, Предложенная лемма: gəşuqi (100.0%)
Слово: dzьrqьţţь, Предложенная лемма: duz (100.0%)
Слово: lьplaţa, Предложенная лемма: plaţa (66.7%)
Слово: sundьlle, Предложенная лемма: sind (100.0%)
Слово: kirlix, Предложенная лемма: kar (100.0%)
Слово: hərəxcin, Предложенная лемма: hər (100.0%)
Слово: muqitlə, Предложенная лемма: mitiltə (66.7%)
Слово: вerlin, Предложенная лемма: вriliant (100.0%)
Слово: вişrəjo, Предложенная лемма: şrəjə (66.7%)
Слово: вuşьrrux, Предложенная лемма: вuş (100.0%)
Слово: gəlţijlə, Предложенная лемма: gəllijə (70.0%)
Слово: şadь, Предложенная лемма: şadurь (100.0%)
Слово: danalqələ, Предложенная лемма: dana (100.0%)
Слово: mammusu, Предложенная лемма: mammudь (88.9%)
Слово: pqilə, Предложенная лемма: piləsoputə (62.5%)
Слово: kaptar, Предложенная лемма: ktara (66.7%)
Слово: təvirjəti, Предложенная лемма: təvirtə (90.0%)
Слово: mxəjoli, Предложенная лемма: mixə (100.0%)
Слово: tamelь, Предложенная лемма: talumь (62.5%)
Слово: təviвəni, Предложенная лемма: təvirtə (66.7%)
Слово: məşqujeli, Предложенная лемма: məşq (100.0%)
Слово: quвluxvə, Предложенная лемма: quвuxtə (70.0%)
Слово: ştəqtə, Предложенная лемма: ştəqə (100.0%)
Слово: jəvo, Предложенная лемма: jə (100.0%)
Слово: вqţьjrь, Предложенная лемма: qţьjra (70.0%)
Слово: litəjutə, Предложенная лемма: lejtəjutə (100.0%)
Слово: gəвə, Предложенная лемма: gəвrə (100.0%)
Слово: quvvət, Предложенная лемма: qvəltə (66.7%)
Слово: suqlitun, Предложенная лемма: sultə (66.7%)
Слово: şivə, Предложенная лемма: şəvə (100.0%)
Слово: danə, Предложенная лемма: dana (100.0%)
Слово: qələt, Предложенная лемма: qə (100.0%)
Слово: vegin, Предложенная лемма: gən (62.5%)
Слово: dməlkə, Предложенная лемма: məlkə (66.7%)
Слово: purşunji, Предложенная лемма: purşunjə (100.0%)
Слово: вьlţaвьlь, Предложенная лемма: вalвulь (80.0%)
Слово: zinə, Предложенная лемма: zi (100.0%)
Слово: mədmujiljələ, Предложенная лемма: mədmuxi (66.7%)
Слово: təxmuni, Предложенная лемма: təxmuni (100.0%)
Слово: qazançь, Предложенная лемма: qaza (100.0%)
Слово: paţuxţa, Предложенная лемма: pţuxa (100.0%)
Слово: qalxan, Предложенная лемма: qalla (66.7%)
Слово: вərdə, Предложенная лемма: вədən (62.5%)
Слово: amerikə, Предложенная лемма: amra (100.0%)
Слово: gzьjreva, Предложенная лемма: gzara (77.8%)
Слово: вzəqə, Предложенная лемма: вəqtə (62.5%)
Слово: şəqillun, Предложенная лемма: şəq (100.0%)
Слово: şəpəxtə, Предложенная лемма: şəpə (100.0%)
Слово: açaвta, Предложенная лемма: açьвuta (100.0%)
Слово: вidnəjivə, Предложенная лемма: вdəjə (77.8%)
Слово: gədən, Предложенная лемма: gən (62.5%)
Слово: ekenə, Предложенная лемма: ekə (100.0%)
Слово: dvijqənnun, Предложенная лемма: dvijrə (66.7%)
Слово: vəsjattu, Предложенная лемма: və (100.0%)
Слово: əşkərilə, Предложенная лемма: şkuri (100.0%)
Слово: şrьjţulь, Предложенная лемма: şer (100.0%)
Слово: julə, Предложенная лемма: jələ (100.0%)
Слово: parmuje, Предложенная лемма: parmujь (100.0%)
Слово: civvu, Предложенная лемма: cu (100.0%)
Слово: oranь, Предложенная лемма: ara (100.0%)
Слово: mujiqli, Предложенная лемма: məjuji (66.7%)
Слово: rappujo, Предложенная лемма: rappujь (100.0%)
Слово: lpələxi, Предложенная лемма: lipə (100.0%)
Слово: xçəltə, Предложенная лемма: xə (100.0%)
Слово: kitpətte, Предложенная лемма: tpətə (66.7%)
Слово: dьlьj, Предложенная лемма: dlə (100.0%)
Слово: lkisu, Предложенная лемма: lkisl (100.0%)
Слово: ijdarь, Предложенная лемма: ijdə (100.0%)
Слово: jalsuvь, Предложенная лемма: jalьj (66.7%)
Слово: gurrьlьna, Предложенная лемма: gura (100.0%)
Слово: qazzahь, Предложенная лемма: qaza (100.0%)
Слово: вsujra, Предложенная лемма: вasura (77.8%)
Слово: mьjra, Предложенная лемма: majra (100.0%)
Слово: maprumь, Предложенная лемма: maprumь (100.0%)
Слово: odənnux, Предложенная лемма: dənə (100.0%)
Слово: duşə, Предложенная лемма: doşəjcə (100.0%)
Слово: вitxəro, Предложенная лемма: вit (100.0%)
Слово: maprume, Предложенная лемма: maprumь (100.0%)
Слово: dlkasьв, Предложенная лемма: dlə (100.0%)
Слово: xinizi, Предложенная лемма: xinə (100.0%)
Слово: məxzivələ, Предложенная лемма: məx (100.0%)
Слово: ptəlto, Предложенная лемма: ptələ (100.0%)
Слово: mədviqijlən, Предложенная лемма: mədvuqi (100.0%)
Слово: maxвurь, Предложенная лемма: maxвurь (100.0%)
Слово: mudivli, Предложенная лемма: umud (100.0%)
Слово: vatanu, Предложенная лемма: vana (62.5%)
Слово: вetilmər, Предложенная лемма: вetməşrjə (70.0%)
Слово: taqqa, Предложенная лемма: taq (100.0%)
Слово: risija, Предложенная лемма: rusnaja (75.0%)
Слово: hona, Предложенная лемма: honə (100.0%)
Слово: mixjinə, Предложенная лемма: mixə (100.0%)
Слово: təzвiji, Предложенная лемма: təzə (100.0%)
Слово: şəlixlə, Предложенная лемма: şlijxə (66.7%)
Слово: məgxikəntə, Предложенная лемма: məgxikənə (100.0%)
Слово: salьh, Предложенная лемма: salьx (75.0%)
Слово: səruqi, Предложенная лемма: sərugi (75.0%)
Слово: вuxa, Предложенная лемма: вuxra (100.0%)
Слово: вəruztilə, Предложенная лемма: вəruzutə (100.0%)
Слово: litlux, Предложенная лемма: let (88.9%)
Слово: dramşa, Предложенная лемма: draşa (77.8%)
Слово: вьhlaвьna, Предложенная лемма: вalaвan (70.0%)
Слово: rijqevə, Предложенная лемма: rijqə (100.0%)
Слово: vəlvəljəti, Предложенная лемма: vəlvuli (100.0%)
Слово: sumun, Предложенная лемма: smuqnəjə (75.0%)
Слово: callьşьt, Предложенная лемма: calluşь (100.0%)
Слово: mukippə, Предложенная лемма: mukriввə (66.7%)
Слово: cmeta, Предложенная лемма: comaxta (75.0%)
Слово: qadahan, Предложенная лемма: qadaxan (66.7%)
Слово: ţmьjrevьt, Предложенная лемма: major (66.7%)
Слово: tunjin, Предложенная лемма: tənuji (100.0%)
Слово: mulximmevit, Предложенная лемма: mulə (100.0%)
Слово: şotəpəji, Предложенная лемма: iştə (100.0%)
Слово: hizur, Предложенная лемма: hi (100.0%)
Слово: вkullə, Предложенная лемма: kullənəjə (66.7%)
Слово: gznəti, Предложенная лемма: gozə (100.0%)
Слово: kumьrrun, Предложенная лемма: kumə (100.0%)
Слово: axlanvalun, Предложенная лемма: axlana (100.0%)
Слово: udarniqi, Предложенная лемма: dara (100.0%)
Слово: ţьjneva, Предложенная лемма: ţьjna (100.0%)
Слово: ьçaru, Предложенная лемма: çar (100.0%)
Слово: muksi, Предложенная лемма: məkusi (100.0%)
Слово: maxdure, Предложенная лемма: maxdurь (100.0%)
Слово: məluvvi, Предложенная лемма: məlvuşi (88.9%)
Слово: gurgişşelun, Предложенная лемма: gura (100.0%)
Слово: pəişvə, Предложенная лемма: pivə (62.5%)
Слово: mitxa, Предложенная лемма: am (100.0%)
Слово: temum, Предложенная лемма: tamma (100.0%)
Слово: sţinə, Предложенная лемма: sinjə (62.5%)
Слово: mardutanaja, Предложенная лемма: marduta (100.0%)
Слово: quвuxjəti, Предложенная лемма: quвuxtə (90.0%)
Слово: qoleqtivəji, Предложенная лемма: qolə (100.0%)
Слово: qompanijь, Предложенная лемма: qoma (100.0%)
Слово: xzete, Предложенная лемма: zetə (62.5%)
Слово: qandaв, Предложенная лемма: qandara (88.9%)
Слово: вarrune, Предложенная лемма: вar (100.0%)
Слово: xulit, Предложенная лемма: xule (100.0%)
Слово: poxənə, Предложенная лемма: poxə (100.0%)
Слово: pəkurildəhə, Предложенная лемма: pəkuri (100.0%)
Слово: cirţiki, Предложенная лемма: corţ (100.0%)
Слово: curcьlь, Предложенная лемма: carcurь (88.9%)
Слово: qələd, Предложенная лемма: qə (100.0%)
Слово: savonь, Предложенная лемма: sav (100.0%)
Слово: məttəxloxun, Предложенная лемма: mətə (100.0%)
Слово: siqli, Предложенная лемма: siqlə (100.0%)
Слово: xlьstula, Предложенная лемма: xlula (70.0%)
Слово: xarxuţu, Предложенная лемма: xarxurь (88.9%)
Слово: itlux, Предложенная лемма: it (100.0%)
Слово: xidjəit, Предложенная лемма: xidjə (100.0%)
Слово: xulitlux, Предложенная лемма: xule (100.0%)
Слово: təxminənə, Предложенная лемма: təxməntə (90.0%)
Слово: kamarto, Предложенная лемма: amarat (66.7%)
Слово: quza, Предложенная лемма: qaza (100.0%)
Слово: muţţьnnelun, Предложенная лемма: maţţunь (100.0%)
Слово: təlmij, Предложенная лемма: tələ (100.0%)
Слово: loza, Предложенная лемма: lazaret (100.0%)
Слово: slesar, Предложенная лемма: asla (100.0%)
Слово: givərgis, Предложенная лемма: gvərə (100.0%)
Слово: ţvelalun, Предложенная лемма: ţve (100.0%)
Слово: musriju, Предложенная лемма: musje (77.8%)
Слово: rəşşidutə, Предложенная лемма: rəşid (77.8%)
Слово: hilijni, Предложенная лемма: həl (100.0%)
Слово: şəpləptə, Предложенная лемма: şəppə (77.8%)
Слово: linijə, Предложенная лемма: injət (62.5%)
Слово: pijşeva, Предложенная лемма: paşvaz (66.7%)
Слово: mətvəx, Предложенная лемма: mətə (100.0%)
Слово: cingirrəntə, Предложенная лемма: cingirənə (90.9%)
Слово: вotulь, Предложенная лемма: вotul (100.0%)
Слово: murь, Предложенная лемма: mardurь (100.0%)
Слово: sirro, Предложенная лемма: sirjə (75.0%)
Слово: şiвli, Предложенная лемма: şilgimtə (62.5%)
Слово: şippuluu, Предложенная лемма: şuppulə (100.0%)
Слово: lьqtaja, Предложенная лемма: lьqţana (66.7%)
Слово: rьşlь, Предложенная лемма: riş (100.0%)
Слово: вexiƶвunə, Предложенная лемма: xiƶвunə (70.0%)
Слово: surinə, Предложенная лемма: surunə (100.0%)
Слово: ţaulьva, Предложенная лемма: ţaulь (100.0%)
Слово: ştitəjə, Предложенная лемма: ştəjə (77.8%)
Слово: tejmnəjə, Предложенная лемма: təjmnə (90.0%)
Слово: kijlələ, Предложенная лемма: kjələ (100.0%)
Слово: dunjь, Предложенная лемма: dunji (100.0%)
Слово: ruxaneta, Предложенная лемма: ruxa (100.0%)
Слово: вsьrrь, Предложенная лемма: вsara (100.0%)
Слово: xingu, Предложенная лемма: xinə (100.0%)
Слово: ţaujo, Предложенная лемма: ţaвujь (100.0%)
Слово: işvaţ, Предложенная лемма: ьşvaţ (100.0%)
Слово: tjəvə, Предложенная лемма: tjəvə (100.0%)
Слово: qaramtuj, Предложенная лемма: iqara (100.0%)
Слово: şəqləx, Предложенная лемма: şəq (100.0%)
Слово: dqьrra, Предложенная лемма: ьqra (62.5%)
Слово: araвancij, Предложенная лемма: ara (100.0%)
Слово: oraxlun, Предложенная лемма: axlana (66.7%)
Слово: lьspaja, Предложенная лемма: spaj (66.7%)
Слово: melij, Предложенная лемма: milisəjə (75.0%)
Слово: jьrrь, Предложенная лемма: jar (100.0%)
Слово: qaţţa, Предложенная лемма: qaţţana (100.0%)
Слово: вьşşaşe, Предложенная лемма: вuş (100.0%)
Слово: quran, Предложенная лемма: qarantuj (100.0%)
Слово: ţavьmunla, Предложенная лемма: ţava (100.0%)
Слово: qurвinni, Предложенная лемма: qurв (100.0%)
Слово: çəsisəntə, Предложенная лемма: çəsusə (100.0%)
Слово: məptixə, Предложенная лемма: məptuji (88.9%)
Слово: rəsmi, Предложенная лемма: əsmərij (62.5%)
Слово: pjəşeli, Предложенная лемма: pjəşə (100.0%)
Слово: rapsu, Предложенная лемма: raprupь (75.0%)
Слово: cьjrьlь, Предложенная лемма: caj (100.0%)
Слово: supraxani, Предложенная лемма: supraxana (100.0%)
Слово: muxiввuvə, Предложенная лемма: muxiввə (100.0%)
Слово: вərnəşə, Предложенная лемма: вarnəşə (100.0%)
Слово: lzəxmi, Предложенная лемма: ləxmə (66.7%)
Слово: mətnijəvəli, Предложенная лемма: mənij (66.7%)
Слово: ofisər, Предложенная лемма: ofitser (100.0%)
Слово: xzьdtela, Предложенная лемма: xzada (100.0%)
Слово: вəxəltə, Предложенная лемма: вəxtə (77.8%)
Слово: curcirri, Предложенная лемма: cərcuri (100.0%)
Слово: nəştəre, Предложенная лемма: nəşə (100.0%)
Слово: məjət, Предложенная лемма: mjətə (100.0%)
Слово: diqqintu, Предложенная лемма: diqqət (90.0%)
Слово: tpetə, Предложенная лемма: tpətə (100.0%)
Слово: kurə, Предложенная лемма: kurkə (100.0%)
Слово: dlevə, Предложенная лемма: dlə (100.0%)
Слово: hospьtal, Предложенная лемма: hasьl (70.0%)
Слово: вimrajьlь, Предложенная лемма: mraja (66.7%)
Слово: kumit, Предложенная лемма: kumə (100.0%)
Слово: lmajdan, Предложенная лемма: almaja (100.0%)
Слово: xəştu, Предложенная лемма: xə (100.0%)
Слово: gəвuje, Предложенная лемма: egə (100.0%)
Слово: zarra, Предложенная лемма: zarьjra (75.0%)
Слово: ojəvə, Предложенная лемма: jə (100.0%)
Слово: topьzi, Предложенная лемма: top (100.0%)
Слово: вjajьjla, Предложенная лемма: вajja (100.0%)
Слово: telə, Предложенная лемма: tələ (100.0%)
Слово: mazвьt, Предложенная лемма: mazuzta (66.7%)
Слово: məttəvə, Предложенная лемма: mətə (100.0%)
Слово: məxzijəno, Предложенная лемма: məx (100.0%)
Слово: savurь, Предложенная лемма: sav (100.0%)
Слово: datьd, Предложенная лемма: data (100.0%)
Слово: sosiəlizm, Предложенная лемма: susi (100.0%)
Слово: xьşşaxьş, Предложенная лемма: xoş (100.0%)
Слово: muslьjalun, Предложенная лемма: slaja (66.7%)
Слово: şəqlij, Предложенная лемма: şəq (100.0%)
Слово: masjutь, Предложенная лемма: masjudь (100.0%)
Слово: tulqivəx, Предложенная лемма: tula (100.0%)
Слово: qəvumivə, Предложенная лемма: qəvumi (77.8%)
Слово: ştavhьrьj, Предложенная лемма: ьştav (100.0%)
Слово: miтli, Предложенная лемма: miljəit (100.0%)
Слово: aldьjanta, Предложенная лемма: aldьjana (100.0%)
Слово: numinnun, Предложенная лемма: inь (100.0%)
Слово: mavьr, Предложенная лемма: mavьrrana (100.0%)
Слово: sipvəto, Предложенная лемма: sipə (100.0%)
Слово: maxşaxтa, Предложенная лемма: maxazja (66.7%)
Слово: mamrьlь, Предложенная лемма: mamrujь (88.9%)
Слово: cəmcumi, Предложенная лемма: cəmcumi (100.0%)
Слово: petjə, Предложенная лемма: pitjə (100.0%)
Слово: çvuçi, Предложенная лемма: çəvvuвi (75.0%)
Слово: вьdqarьva, Предложенная лемма: вьqra (66.7%)
Слово: xəjərxə, Предложенная лемма: xəjə (100.0%)
Слово: şudrolь, Предложенная лемма: şadurь (100.0%)
Слово: muji, Предложенная лемма: məjuji (100.0%)
Слово: dвəhə, Предложенная лемма: dəвəşə (75.0%)
Слово: mədmixəxlux, Предложенная лемма: dməxə (66.7%)
Слово: naвələd, Предложенная лемма: вələd (66.7%)
Слово: grəștə, Предложенная лемма: gərtə (100.0%)
Слово: lhimizmənij, Предложенная лемма: himizmən (72.7%)
Слово: givi, Предложенная лемма: gvijxə (100.0%)
Слово: xuzdiggi, Предложенная лемма: xəzdugi (100.0%)
Слово: murme, Предложенная лемма: muraz (75.0%)
Слово: mвar, Предложенная лемма: amвar (100.0%)
Слово: guвili, Предложенная лемма: вil (62.5%)
Слово: qurвinninə, Предложенная лемма: qurв (100.0%)
Слово: gəluji, Предложенная лемма: gəlguli (75.0%)
Слово: savraja, Предложенная лемма: sav (100.0%)
Слово: lmazrak, Предложенная лемма: alma (100.0%)
Слово: passeta, Предложенная лемма: paseta (77.8%)
Слово: lxizməni, Предложенная лемма: xizmə (66.7%)
Слово: şippo, Предложенная лемма: şap (100.0%)
Слово: məzvuju, Предложенная лемма: məzvuji (100.0%)
Слово: xumjunə, Предложенная лемма: ximjənə (100.0%)
Слово: nəhə, Предложенная лемма: nəhəq (100.0%)
Слово: pərtule, Предложенная лемма: pərtuli (100.0%)
Слово: liplij, Предложенная лемма: lipə (100.0%)
Слово: lqəlij, Предложенная лемма: lələ (62.5%)
Слово: xţьjtola, Предложенная лемма: xţьjta (100.0%)
Слово: qajtan, Предложенная лемма: qajra (66.7%)
Слово: karaвa, Предложенная лемма: kar (100.0%)
Слово: qusraj, Предложенная лемма: qasra (100.0%)
Слово: tajpa, Предложенная лемма: taptapta (62.5%)
Слово: muştiju, Предложенная лемма: muştərij (88.9%)
Слово: lвaşartux, Предложенная лемма: вaşarta (70.0%)
Слово: topa, Предложенная лемма: top (100.0%)
Слово: ekelə, Предложенная лемма: ekə (100.0%)
Слово: dвinijsəni, Предложенная лемма: вinijsəni (72.7%)
Слово: lələxuminə, Предложенная лемма: lələ (100.0%)
Слово: mşəjə, Предложенная лемма: mşəjə (100.0%)
Слово: hejdarabad, Предложенная лемма: hdara (66.7%)
Слово: şpijli, Предложенная лемма: şap (100.0%)
Слово: toqə, Предложенная лемма: ətqəntə (100.0%)
Слово: şakra, Предложенная лемма: şrara (62.5%)
Слово: вijəqili, Предложенная лемма: вijşə (66.7%)
Слово: litlən, Предложенная лемма: lə (100.0%)
Слово: parrьjva, Предложенная лемма: prьjţa (70.0%)
Слово: palţanan, Предложенная лемма: pal (100.0%)
Слово: çeldi, Предложенная лемма: çəldi (100.0%)
Слово: vədinə, Предложенная лемма: və (100.0%)
Слово: şoqəxli, Предложенная лемма: şəxlupi (66.7%)
Слово: qluв, Предложенная лемма: qəlв (100.0%)
Слово: klaseta, Предложенная лемма: klas (100.0%)
Слово: işaja, Предложенная лемма: şaj (100.0%)
Слово: nonuji, Предложенная лемма: nonuji (100.0%)
Слово: məxiвlə, Предложенная лемма: məx (100.0%)
Слово: mxişşə, Предложенная лемма: xişşə (66.7%)
Слово: qəvvim, Предложенная лемма: qə (100.0%)
Слово: zəвtəntə, Предложенная лемма: zəвəntə (80.0%)
Слово: ştijtəjili, Предложенная лемма: ştijqə (72.7%)
Слово: mundja, Предложенная лемма: umud (62.5%)
Слово: ətjəni, Предложенная лемма: itjə (100.0%)
Слово: вicjədoxunvəx, Предложенная лемма: cjədə (66.7%)
Слово: pьllankasь, Предложенная лемма: pьllan (100.0%)
Слово: вьşjaru, Предложенная лемма: şjara (66.7%)
Слово: xьllь, Предложенная лемма: xlula (100.0%)
Слово: hingə, Предложенная лемма: hi (100.0%)
Слово: pərtulu, Предложенная лемма: pərtuli (100.0%)
Слово: ptixto, Предложенная лемма: ptiltə (66.7%)
Слово: maprьmatlь, Предложенная лемма: mapramta (100.0%)
Слово: dixnə, Предложенная лемма: di (100.0%)
Слово: şpinni, Предложенная лемма: şəpuni (100.0%)
Слово: qudrət, Предложенная лемма: qədrə (100.0%)
Слово: rezinə, Предложенная лемма: zinnə (62.5%)
Слово: dikkə, Предложенная лемма: di (100.0%)
Слово: ţjanta, Предложенная лемма: mintə (100.0%)
Слово: gəвuji, Предложенная лемма: gəвgupi (75.0%)
Слово: nditi, Предложенная лемма: datid (62.5%)
Слово: zurna, Предложенная лемма: zur (100.0%)
Слово: grəştə, Предложенная лемма: grəşə (100.0%)
Слово: qitiji, Предложенная лемма: itjə (62.5%)
Слово: pəltuşo, Предложенная лемма: pəltuşi (100.0%)
Слово: hlьjвelun, Предложенная лемма: həl (100.0%)
Слово: dərвəni, Предложенная лемма: dərвə (100.0%)
Слово: вuxara, Предложенная лемма: вuxra (100.0%)
Слово: viji7, Предложенная лемма: vaj (100.0%)
Слово: saldatutьj, Предложенная лемма: saldat (100.0%)
Слово: cəqcuqi, Предложенная лемма: cəqcuqi (100.0%)
Слово: havaru, Предложенная лемма: havar (100.0%)
Слово: purqəlux, Предложенная лемма: prəqə (100.0%)
Слово: ktьrra, Предложенная лемма: ktara (100.0%)
Слово: şurţьxtьva, Предложенная лемма: şura (100.0%)
Слово: rmavir, Предложенная лемма: rama (100.0%)
Слово: lвara, Предложенная лемма: вar (62.5%)
Слово: pəlgəgə, Предложенная лемма: pəlgə (100.0%)
Слово: mzdute, Предложенная лемма: mazdujь (88.9%)
Слово: dxijrili, Предложенная лемма: dax (100.0%)
Слово: gvirri, Предложенная лемма: gir (66.7%)
Слово: nəşl, Предложенная лемма: nəşə (100.0%)
Слово: litləx, Предложенная лемма: lə (100.0%)
Слово: tamьmax, Предложенная лемма: tamma (100.0%)
Слово: narazьjna, Предложенная лемма: narazьj (100.0%)
Слово: pekuj, Предложенная лемма: kuj (62.5%)
Слово: suxsьjelun, Предложенная лемма: saxsьjana (90.9%)
Слово: curcьrrь, Предложенная лемма: carcurь (100.0%)
Слово: çukmu, Предложенная лемма: kamurь (62.5%)
Слово: nastrojqa, Предложенная лемма: nist (100.0%)
Слово: dьlun, Предложенная лемма: dlə (100.0%)
Слово: hamməşə, Предложенная лемма: həmməşə (100.0%)
Слово: şəqləqtə, Предложенная лемма: şəq (100.0%)
Слово: axetu, Предложенная лемма: ax (100.0%)
Слово: zidlun, Предложенная лемма: zi (100.0%)
Слово: pələxtə, Предложенная лемма: pələxə (100.0%)
Слово: вьqraju, Предложенная лемма: вьqra (100.0%)
Слово: levi, Предложенная лемма: le (100.0%)
Слово: mdərdoxun, Предложенная лемма: dərd (66.7%)
Слово: əmuqutə, Предложенная лемма: əmuqə (100.0%)
Слово: mьsţa, Предложенная лемма: mьssaja (75.0%)
Слово: вьxţarulь, Предложенная лемма: xţara (66.7%)
Слово: dijvəx, Предложенная лемма: di (100.0%)
Слово: вgьrra, Предложенная лемма: вьgra (100.0%)
Слово: вidjəşo, Предложенная лемма: вidjutə (88.9%)
Слово: pəvvuri, Предложенная лемма: pəvuri (77.8%)
Слово: ginəjtə, Предложенная лемма: gnəjə (100.0%)
Слово: şudrьjva, Предложенная лемма: şuraja (66.7%)
Слово: dqəmetə, Предложенная лемма: dəmetə (66.7%)
Слово: alulani, Предложенная лемма: alula (100.0%)
Слово: taşьla, Предложенная лемма: tala (62.5%)
Слово: məhnetə, Предложенная лемма: məntetə (66.7%)
Слово: şmьjtьlь, Предложенная лемма: şmaja (100.0%)
Слово: muslьjь, Предложенная лемма: maslujь (100.0%)
Слово: вьxqarova, Предложенная лемма: xqara (66.7%)
Слово: polo, Предложенная лемма: polq (100.0%)
Слово: rapsь, Предложенная лемма: raprupь (75.0%)
Слово: rşьmte, Предложенная лемма: riş (100.0%)
Слово: çaraвta, Предложенная лемма: çar (100.0%)
Слово: dijijlə, Предложенная лемма: dij (100.0%)
Слово: kamrana, Предложенная лемма: amrana (66.7%)
Слово: qətolijqetə, Предложенная лемма: tliqtə (63.6%)
Слово: mudijvə, Предложенная лемма: mdijtə (88.9%)
Слово: məkriвijvəlij, Предложенная лемма: məkruвi (100.0%)
Слово: hudьrtela, Предложенная лемма: hudra (100.0%)
Слово: вilləjə, Предложенная лемма: вil (100.0%)
Слово: criştə, Предложенная лемма: crətə (77.8%)
Слово: xuletlij, Предложенная лемма: xule (100.0%)
Слово: muxzijonə, Предложенная лемма: muxə (100.0%)
Слово: dşijrə, Предложенная лемма: şijrə (66.7%)
Слово: purpьţta, Предложенная лемма: pьrţa (77.8%)
Слово: ţьjta, Предложенная лемма: ţьjma (75.0%)
Слово: вьţlaвьvьt, Предложенная лемма: вţala (100.0%)
Слово: xişkənutə, Предложенная лемма: xişkə (100.0%)
Слово: şqillux, Предложенная лемма: qullux (70.0%)
Слово: muksələn, Предложенная лемма: məsələn (70.0%)
Слово: tuttux, Предложенная лемма: ətutəit (100.0%)
Слово: jasrьn, Предложенная лемма: jassar (66.7%)
Слово: qomsomoles, Предложенная лемма: qoma (100.0%)
Слово: lqdələ, Предложенная лемма: lə (100.0%)
Слово: vidlən, Предложенная лемма: dlə (62.5%)
Слово: mapşaţta, Предложенная лемма: mapşьţana (90.0%)
Слово: şəkşuku, Предложенная лемма: şik (100.0%)
Слово: aldujь, Предложенная лемма: aldujь (100.0%)
Слово: qazanca, Предложенная лемма: qaza (100.0%)
Слово: dijənzi, Предложенная лемма: dij (100.0%)
Слово: livəde, Предложенная лемма: vədə (62.5%)
Слово: udarniq, Предложенная лемма: dara (100.0%)
Слово: şvəqte, Предложенная лемма: şvəqə (100.0%)
Слово: sipvətu, Предложенная лемма: sipə (100.0%)
Слово: proletərijəji, Предложенная лемма: parol (100.0%)
Слово: вigrəşe, Предложенная лемма: grəşə (66.7%)
Слово: вurьnna, Предложенная лемма: вurrьnna (66.7%)
Слово: mxəjinə, Предложенная лемма: mxəjə (100.0%)
Слово: manaji, Предложенная лемма: manaja (100.0%)
Слово: suxвirri, Предложенная лемма: səxвuri (100.0%)
Слово: çançьranь, Предложенная лемма: çançьrana (100.0%)
Слово: çummeli, Предложенная лемма: çum (100.0%)
Слово: mxəj, Предложенная лемма: mxəjə (100.0%)
Слово: pallьlun, Предложенная лемма: pal (100.0%)
Слово: xadьrvano, Предложенная лемма: xadura (100.0%)
Слово: gursud, Предложенная лемма: gura (100.0%)
Слово: xarxarta, Предложенная лемма: xarta (70.0%)
Слово: вaţьjlь, Предложенная лемма: вaţьjla (100.0%)
Слово: qerəzutə, Предложенная лемма: qərqəztə (66.7%)
Слово: həkli, Предложенная лемма: həkkim (75.0%)
Слово: calcьjatia, Предложенная лемма: calceta (90.0%)
Слово: mitqi, Предложенная лемма: mitiltə (75.0%)
Слово: mapşutь, Предложенная лемма: mapşuţь (88.9%)
Слово: rappala, Предложенная лемма: rappeta (88.9%)
Слово: tujrəвirgədivə, Предложенная лемма: tjərə (100.0%)
Слово: odin, Предложенная лемма: di (100.0%)
Слово: vartux, Предложенная лемма: vara (100.0%)
Слово: gənoxunli, Предложенная лемма: gən (100.0%)
Слово: lidaja, Предложенная лемма: daja (62.5%)
Слово: gxuktə, Предложенная лемма: gxəktə (100.0%)
Слово: əsqət, Предложенная лемма: əsqə (100.0%)
Слово: məhiв, Предложенная лемма: məhlim (75.0%)
Слово: msitilə, Предложенная лемма: mitiltə (66.7%)
Слово: xamşar, Предложенная лемма: xamra (77.8%)
Слово: zuвnelən, Предложенная лемма: zəвnənə (90.0%)
Слово: macrьjanь, Предложенная лемма: macrujь (100.0%)
Слово: вitilxim, Предложенная лемма: вit (100.0%)
Слово: dьmun, Предложенная лемма: dammunь (75.0%)
Слово: gurgişşəlun, Предложенная лемма: gura (100.0%)
Слово: qrьjţalь, Предложенная лемма: qraj (100.0%)
Слово: gudəpi, Предложенная лемма: gudə (100.0%)
Слово: lkərvənsəri, Предложенная лемма: kərvənsərə (75.0%)
Слово: şerвinovqa, Предложенная лемма: şerana (77.8%)
Слово: kvərə, Предложенная лемма: kvəcə (75.0%)
Слово: şippə, Предложенная лемма: şəppə (100.0%)
Слово: husьlto, Предложенная лемма: hasьl (100.0%)
Слово: qţalan, Предложенная лемма: qţala (100.0%)
Слово: lqluв, Предложенная лемма: qəlв (66.7%)
Слово: cəppəl, Предложенная лемма: cəppər (88.9%)
Слово: tşьlь, Предложенная лемма: təşqəl (75.0%)
Слово: macrujь, Предложенная лемма: macrujь (100.0%)
Слово: вruşu, Предложенная лемма: вorş (100.0%)
Слово: şьmjьna, Предложенная лемма: şmaja (100.0%)
Слово: darhь, Предложенная лемма: dara (100.0%)
Слово: həlвət, Предложенная лемма: həl (100.0%)
Слово: qəpitəlistetə, Предложенная лемма: ptələ (66.7%)
